text,legal_issue,bias_type,urgency,language,location,age,gender
Product defective hai aur return nahi le rahe.,consumer_rights,none,urgent,English,Chennai,19,male
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hinglish,Hyderabad,36,female
Landlord evicted me without any legal notice.,rent_eviction,class_bias,distress,English,Bangalore,33,female
Child custody dispute with spouse.,child_custody,none,distress,Hindi,Delhi,55,male
Bacche ki custody ka case hai court me.,child_custody,none,distress,English,Mumbai,59,female
Property ka dispute chal raha hai.,property_dispute,none,urgent,Hinglish,Mumbai,29,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,normal,Hindi,Mumbai,24,male
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,urgent,Hindi,Bhopal,47,male
Child custody dispute with spouse.,child_custody,none,urgent,Hinglish,Patna,41,female
Wife is denying me access to child.,child_custody,caste_bias,distress,Hinglish,Delhi,29,male
Corruption ho raha hai har jagah.,bribery_corruption,caste_bias,urgent,Hinglish,Bhopal,53,other
Product defective hai aur return nahi le rahe.,consumer_rights,none,distress,English,Bangalore,18,other
Neighbour encroaching on my land.,property_dispute,class_bias,distress,Hindi,Patna,59,other
Had to pay bribe for simple work.,bribery_corruption,none,distress,Hindi,Delhi,57,other
Had to pay bribe for simple work.,bribery_corruption,none,distress,English,Mumbai,46,male
Husband is beating me daily.,domestic_violence,none,urgent,Hinglish,Hyderabad,24,female
Bacche ki custody ka case hai court me.,child_custody,caste_bias,normal,Hinglish,Chennai,18,male
Company salary nahi de rahi.,labor_rights_violation,gender_bias,urgent,English,Delhi,34,other
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,distress,Hindi,Patna,24,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,normal,Hindi,Lucknow,28,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,normal,Hinglish,Jaipur,44,male
Boss discriminating against me for being Caste.,workplace_discrimination,caste_bias,normal,Hindi,Bangalore,33,other
People are trolling and abusing me on social media.,cyber_bullying,class_bias,normal,Hindi,Chennai,53,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,urgent,Hinglish,Patna,50,other
My in-laws are torturing me for dowry.,dowry,caste_bias,normal,Hindi,Bangalore,57,male
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,urgent,Hinglish,Bangalore,44,male
Office me biased treatment mil raha hai.,workplace_discrimination,caste_bias,normal,Hindi,Lucknow,39,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,distress,Hindi,Patna,36,male
Child custody dispute with spouse.,child_custody,class_bias,distress,Hindi,Kolkata,39,other
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,English,Mumbai,43,male
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,urgent,English,Delhi,35,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,class_bias,normal,Hinglish,Jaipur,41,other
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,normal,Hindi,Chennai,42,male
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,distress,Hinglish,Bangalore,53,other
Neighbour encroaching on my land.,property_dispute,gender_bias,distress,Hindi,Chennai,49,female
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,urgent,English,Bhopal,25,female
People are trolling and abusing me on social media.,cyber_bullying,none,urgent,English,Jaipur,33,other
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,urgent,English,Jaipur,60,female
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,normal,Hindi,Lucknow,53,female
Roz ghar pe violence hota hai.,domestic_violence,none,urgent,English,Bhopal,29,other
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,distress,English,Bangalore,29,other
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,urgent,Hinglish,Chennai,52,other
Bacche ki custody ka case hai court me.,child_custody,caste_bias,urgent,English,Hyderabad,29,male
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,distress,Hinglish,Delhi,18,female
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,normal,Hinglish,Bangalore,40,other
My in-laws are torturing me for dowry.,dowry,class_bias,normal,Hinglish,Chennai,43,other
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,distress,Hinglish,Hyderabad,55,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,gender_bias,urgent,Hindi,Hyderabad,43,female
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,distress,English,Delhi,60,male
Office wale badtameezi karte hain.,harassment,caste_bias,normal,Hindi,Lucknow,33,female
Property ka dispute chal raha hai.,property_dispute,gender_bias,normal,Hindi,Kolkata,55,female
Office wale badtameezi karte hain.,harassment,none,normal,Hinglish,Jaipur,37,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,normal,Hinglish,Delhi,22,male
Corruption ho raha hai har jagah.,bribery_corruption,none,distress,Hindi,Kolkata,19,male
Office wale badtameezi karte hain.,harassment,class_bias,urgent,Hindi,Lucknow,20,female
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,normal,Hindi,Kolkata,29,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,urgent,Hindi,Chennai,43,other
Wife is denying me access to child.,child_custody,class_bias,normal,English,Bhopal,43,other
Husband is beating me daily.,domestic_violence,caste_bias,urgent,Hinglish,Chennai,38,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,class_bias,urgent,English,Lucknow,53,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,normal,English,Bangalore,33,other
They are making me work overtime without pay.,labor_rights_violation,class_bias,distress,English,Chennai,21,female
Wife is denying me access to child.,child_custody,none,distress,Hinglish,Hyderabad,54,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,urgent,Hindi,Jaipur,58,female
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,urgent,Hinglish,Lucknow,28,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,normal,Hinglish,Mumbai,45,other
Child custody dispute with spouse.,child_custody,caste_bias,distress,English,Jaipur,36,male
They are making me work overtime without pay.,labor_rights_violation,caste_bias,normal,English,Bangalore,56,female
Online log gaali de rahe hain.,cyber_bullying,caste_bias,normal,Hinglish,Bangalore,28,female
Child custody dispute with spouse.,child_custody,gender_bias,distress,English,Bangalore,43,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,distress,Hindi,Chennai,40,other
Police FIR nahi likh rahi kyunki main None hoon.,FIR_denial,none,urgent,Hindi,Jaipur,52,other
They are making me work overtime without pay.,labor_rights_violation,caste_bias,urgent,Hindi,Bhopal,28,female
Child custody dispute with spouse.,child_custody,gender_bias,normal,Hindi,Mumbai,44,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,normal,Hinglish,Chennai,24,male
Wife is denying me access to child.,child_custody,none,normal,Hindi,Lucknow,39,female
My in-laws are torturing me for dowry.,dowry,class_bias,urgent,English,Hyderabad,56,other
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,urgent,Hinglish,Bangalore,52,female
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,urgent,English,Bhopal,56,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,none,urgent,English,Mumbai,27,female
Landlord evicted me without any legal notice.,rent_eviction,none,urgent,Hinglish,Bangalore,30,other
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,Hindi,Bangalore,40,female
They refused to register FIR citing my Class identity.,FIR_denial,class_bias,distress,Hinglish,Kolkata,60,female
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,English,Chennai,32,male
I am being harassed at workplace by senior.,harassment,class_bias,distress,English,Lucknow,43,female
Roz ghar pe violence hota hai.,domestic_violence,gender_bias,urgent,Hindi,Hyderabad,32,female
Boss discriminating against me for being Class.,workplace_discrimination,class_bias,distress,English,Kolkata,40,female
Child custody dispute with spouse.,child_custody,caste_bias,distress,English,Kolkata,26,other
Property ka dispute chal raha hai.,property_dispute,none,normal,Hinglish,Chennai,42,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,urgent,Hinglish,Patna,39,other
I am being harassed at workplace by senior.,harassment,caste_bias,distress,Hindi,Kolkata,36,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,urgent,Hinglish,Kolkata,39,female
